鄉鎮市區,交易標的,土地位置建物門牌,土地面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,租賃年月日,租賃筆棟數,租賃層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,有無附傢俱,總額元,單價元平方公尺,車位類別,車位面積平方公尺,車位總額元,備註,編號,出租型態,有無管理員,租賃期間,有無電梯,附屬設備,租賃住宅服務
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,Whether there is attaches the furniture,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,Rental type,Residential Manager,Rental period,elevator,equipment,Rental residential services
中壢區,租賃房屋+車位,桃園市中壢區華美一路１４３號六樓,0.0,,,,1140629,土地0建物1車位1,六層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0950123,154.54,3,1,1,有,有,有,22700,147,坡道平面,0.0,2500,社會住宅,RPPRMLOJPHKGFBH78CC,整棟(戶)出租,有,1140701~1150630,有,冷氣、熱水器、洗衣機、電視機、冰箱、瓦斯或天然氣,社會住宅代管
中壢區,租賃房屋,桃園市中壢區延平路２１２號四樓之二,0.0,,,,1140613,土地0建物0車位0,四層,7,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0710619,26.45,3,1,3,有,無,有,7000,265,,0.0,0,租金總額含管理費；網路費；租賃建物部分範圍，且未計入共有部分面積；,RPQRMLOJPHKGFBH88CC,分租套房,無,1140713~1150712,有,冷氣、熱水器、洗衣機、電視機、冰箱,
中壢區,租賃房屋,桃園市中壢區松義路１１號十一樓,0.0,,,,1140703,土地0建物1車位0,十一層,22,住宅大樓(11層含以上有電梯),集合住宅,鋼筋混凝土造,1130906,136.56,2,2,1,有,有,有,16000,117,,0.0,0,每月管理費3200承租人自付。未租賃車位，建物登記含有車位面積；,RPRRMLOJPHKGFBH98CC,整棟(戶)出租,有,1140707~1150706,有,冷氣、熱水器、瓦斯或天然氣,社會住宅代管
中壢區,租賃房屋,桃園市中壢區興仁路二段１４６之１號三樓５號房,0.0,,,,1140610,土地0建物0車位0,三層,5,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0721230,86.75999999999999,2,0,1,有,無,有,6000,69,,0.0,0,租金總額含水費；網路費；,RPTRMLOJPHKGFBH56CC,分租套房,無,1140610~1150609,無,,一般代管
中壢區,租賃房屋,桃園市中壢區仁慈路１７０號八樓,0.0,,,,1140623,土地0建物1車位0,八層,12,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0840805,26.43,1,1,1,有,有,有,6000,227,,0.0,0,管理費500元，由出租人負擔續租案件；,RPURMLOJPHKGFBH66CC,獨立套房,有,1140701~1150511,有,冷氣、熱水器、洗衣機、電視機、冰箱,社會住宅代管
觀音區,租賃房屋+車位,桃園市觀音區八德六街１２號三樓,0.0,,,,1140629,土地0建物1車位1,三層,14,住宅大樓(11層含以上有電梯),集合住宅,鋼筋混凝土造,1140102,117.15,2,1,1,有,有,無,14100,129,坡道平面,26.93,2500,社會住宅,RPVRMLOJPHKGFBH76CC,整棟(戶)出租,有,1140714~1150713,有,冷氣、熱水器、瓦斯或天然氣,社會住宅代管
中壢區,租賃房屋,桃園市中壢區興仁路二段１４６號三樓,0.0,,,,1140610,土地0建物0車位0,三層,5,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0721230,86.75999999999999,2,0,1,有,無,有,5500,63,,0.0,0,租金總額含水費；網路費；,RPWRMLOJPHKGFBH86CC,分租套房,無,1140610~1150609,無,冷氣、熱水器、電視機、冰箱,一般代管
中壢區,租賃房屋,桃園市中壢區中山東路三段文化新村６５號,0.0,,,,1140701,土地0建物0車位0,一層,2,公寓(5樓含以下無電梯),住家用,加強磚造,0670920,21.48,9,0,9,有,無,有,8500,396,,0.0,0,租金總額含網路費；其他電視費；,RPXRMLOJPHKGFBH96CC,分租套房,無,1140704~1150703,無,冷氣、熱水器、洗衣機、電視機、冰箱、有線電視、網路,
中壢區,租賃房屋,桃園市中壢區龍岡路一段１２５號六樓,0.0,,,,1140614,土地0建物0車位0,六層,7,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0800917,17.0,10,0,10,有,無,有,7500,441,,0.0,0,租賃建物部分範圍，且未計入共有部分面積；,RPOSMLOJPHKGFBH78CC,分租套房,無,1140617~1150616,有,冷氣、熱水器、電視機、冰箱、有線電視、網路,一般轉租
中壢區,租賃房屋,桃園市中壢區實踐路２６０號,0.0,,,,1140615,土地0建物0車位0,全,5,透天厝,店舖、住宅、梯間,鋼筋混凝土造,0901109,17.0,9,0,9,有,無,有,7000,412,,0.0,0,租賃建物部分範圍，且未計入共有部分面積；,RPPSMLOJPHKGFBH88CC,分租套房,無,1140618~1150617,無,冷氣、熱水器、電視機、冰箱、有線電視、網路,一般轉租
