鄉鎮市區,交易標的,土地位置建物門牌,土地面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,租賃年月日,租賃筆棟數,租賃層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,有無附傢俱,總額元,單價元平方公尺,車位類別,車位面積平方公尺,車位總額元,備註,編號,出租型態,有無管理員,租賃期間,有無電梯,附屬設備,租賃住宅服務
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,Whether there is attaches the furniture,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,Rental type,Residential Manager,Rental period,elevator,equipment,Rental residential services
太保市,租賃房屋+車位,嘉義縣太保市保鐵十二路１４８號２樓之５,0.0,,,,1140615,土地0建物1車位1,二層,11,住宅大樓(11層含以上有電梯),集合住宅,鋼筋混凝土造,1130821,116.63999999999999,3,2,2,有,有,有,26100,224,坡道平面,14.26,0,,RPPNMLOJPHKGFDQ86CC,整棟(戶)出租,有,1140620~1150619,有,冷氣、熱水器、洗衣機、電視機、冰箱,
太保市,租賃房屋,嘉義縣太保市頂港子墘４０之８號５樓之３,0.0,,,,1140703,土地0建物1車位0,五層,5,華廈(10層含以下有電梯),集合住宅,鋼筋混凝土造,0940815,22.21,1,0,1,有,有,有,7200,324,,0.0,0,,RPQNMLOJPHKGFDQ96CC,獨立套房,有,1140704~1150703,有,冷氣、熱水器、洗衣機、電視機、冰箱,
太保市,租賃房屋,嘉義縣太保市太保２６-３號,87.9,住,,,1140612,土地1建物1車位0,全,3,透天厝,住商用,鋼筋混凝土加強磚造,0781209,142.6,3,3,3,有,無,無,22000,154,,0.0,0,,RPRNMLOJPHKGFDQ07CC,整棟(戶)出租,無,1140622~1160621,無,,
太保市,租賃房屋+車位,嘉義縣太保市保鐵十二路１３０號四樓之７,0.0,,,,1140610,土地0建物1車位1,四層,11,住宅大樓(11層含以上有電梯),集合住宅,鋼筋混凝土造,1130821,94.59,2,2,2,有,有,有,21000,222,坡道平面,16.82,0,租金總額含管理費；其他車位清潔費；,RPSNMLOJPHKGFDQ17CC,整棟(戶)出租,有,1140615~1150614,有,冷氣、熱水器、洗衣機、電視機、冰箱,
太保市,租賃房屋+車位,嘉義縣太保市保鐵十二路１６２號四樓之９,0.0,,,,1140610,土地0建物1車位1,四層,11,住宅大樓(11層含以上有電梯),集合住宅,鋼筋混凝土造,1130821,112.09,2,2,2,有,有,有,22000,196,坡道平面,16.82,0,租金總額含管理費；其他車位清潔費；,RPRNMLPJPHKGFDQ17CC,整棟(戶)出租,有,1140615~1150614,有,冷氣、熱水器、洗衣機、電視機、冰箱,
太保市,租賃房屋+車位,嘉義縣太保市保鐵十二路１３０號四樓之７,0.0,,,,1140610,土地0建物1車位1,四層,11,住宅大樓(11層含以上有電梯),集合住宅,鋼筋混凝土造,1130821,94.59,2,2,2,有,有,有,21000,222,坡道平面,16.82,0,租金總額含管理費；其他車位清潔費；,RPSNMLPJPHKGFDQ27CC,整棟(戶)出租,有,1140615~1150614,有,冷氣、熱水器、洗衣機、電視機、冰箱,一般代管
太保市,租賃房屋+車位,嘉義縣太保市保鐵十二路１５６號七樓之８,0.0,,,,1140610,土地0建物1車位1,七層,11,住宅大樓(11層含以上有電梯),集合住宅,鋼筋混凝土造,1130821,118.28999999999999,2,2,2,有,有,無,22000,186,坡道平面,16.82,0,租金總額含管理費；其他車位清潔費；,RPTNMLPJPHKGFDQ37CC,整棟(戶)出租,有,1140615~1150614,有,冷氣、熱水器、洗衣機、電視機、冰箱,
太保市,租賃房屋+車位,嘉義縣太保市保鐵十二路１４８號九樓之６,0.0,,,,1140610,土地0建物1車位1,九層,11,住宅大樓(11層含以上有電梯),集合住宅,鋼筋混凝土造,1130821,94.59,2,2,2,有,有,有,21000,222,坡道平面,16.82,0,租金總額含管理費；其他車位清潔費；,RPUNMLPJPHKGFDQ47CC,整棟(戶)出租,有,1140615~1150614,有,冷氣、熱水器、洗衣機、冰箱,
太保市,租賃房屋+車位,嘉義縣太保市保鐵十二路１４８號四樓之９,0.0,,,,1140623,土地0建物1車位1,四層,11,住宅大樓(11層含以上有電梯),集合住宅,鋼筋混凝土造,1130821,112.09,2,2,2,有,有,有,25000,223,坡道平面,16.82,0,租金總額含管理費；其他車位清潔費；,RPVNMLPJPHKGFDQ57CC,整棟(戶)出租,有,1140701~1150630,有,冷氣、熱水器、洗衣機、電視機、冰箱,
太保市,租賃房屋+車位,嘉義縣太保市保鐵十二路１６８號八樓之５,0.0,,,,1140620,土地0建物1車位1,八層,11,住宅大樓(11層含以上有電梯),集合住宅,鋼筋混凝土造,1130821,119.19999999999999,3,2,2,有,有,有,29305,246,坡道平面,16.82,0,多人共同承租3；租金總額含管理費；網路費；其他車位清潔費；,RPWNMLPJPHKGFDQ67CC,整棟(戶)出租,有,1140620~1150619,有,冷氣、熱水器、洗衣機、電視機、冰箱,
