鄉鎮市區,交易標的,土地位置建物門牌,土地面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,租賃年月日,租賃筆棟數,租賃層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,有無附傢俱,總額元,單價元平方公尺,車位類別,車位面積平方公尺,車位總額元,備註,編號,出租型態,有無管理員,租賃期間,有無電梯,附屬設備,租賃住宅服務
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,Whether there is attaches the furniture,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,Rental type,Residential Manager,Rental period,elevator,equipment,Rental residential services
永康區,租賃房屋,臺南市永康區?行里中正七街９０號,0.0,,,,1140828,土地0建物0車位0,全,4,透天厝,住商用,鋼筋混凝土造,0940527,29.61,6,0,6,有,無,有,5200,176,,0.0,0,租金總額含水費；網路費；,RPSNMLQKRHKGFKD07CC,分租套房,無,1140828~1150909,無,冷氣、熱水器、冰箱、網路,一般代管
永康區,租賃房屋,臺南市永康區鹽行路１００巷８號,0.0,,,,1140915,土地0建物0車位0,全,4,透天厝,停車空間，住宅,鋼筋混凝土構造,1030715,16.53,8,0,8,有,無,有,5500,333,,0.0,0,1.契約書未約定土地租賃標的。2.由所有權人提供出租資訊。租金總額含網路費；,RPTNMLQKRHKGFKD17CC,分租套房,無,1140916~1150915,無,冷氣、熱水器、洗衣機、電視機、冰箱、網路,一般代管
永康區,租賃房屋,臺南市永康區東橋十二街１７２號五樓之６,0.0,,,,1140821,土地0建物1車位0,五層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土構造,1080315,82.19,2,2,2,有,有,有,17800,217,,0.0,0,參加公會版住宅包租代管4-1期計畫，租金為市價9折租金總額含管理費；,RPVNMLQKRHKGFKD37CC,整棟(戶)出租,有,1140901~1150831,有,冷氣、熱水器、電視機,社會住宅代管
永康區,租賃房屋,臺南市永康區大灣路７６４巷５６號３樓之６,0.0,,,,1140901,土地0建物1車位0,三層,6,華廈(10層含以下有電梯),辦公室,鋼筋混凝土造,0940708,23.21,1,0,1,有,有,有,5300,228,,0.0,0,含增建或未登記建物；,RPWNMLQKRHKGFKD47CC,獨立套房,有,1140908~1150907,有,冷氣、熱水器、電視機、冰箱、網路,一般代管
永康區,租賃房屋,臺南市永康區鹽州里鹽忠街１１８號５樓之１０,0.0,,,,1140910,土地0建物1車位0,五層,8,華廈(10層含以下有電梯),辦公室,鋼筋混凝土造,0950918,18.08,1,0,1,有,有,有,4300,238,,0.0,0,含增建或未登記建物；續租案件；,RPXNMLQKRHKGFKD57CC,獨立套房,有,1140927~1150926,有,冷氣、熱水器、電視機、冰箱、網路,一般代管
永康區,租賃房屋,臺南市永康區中正南路５２巷２１弄５號４樓之２,0.0,,,,1140910,土地0建物0車位0,四層,5,華廈(10層含以下有電梯),集合住宅,鋼筋混凝土構造,1100409,11.42,3,1,4,有,無,有,7500,657,,0.0,0,租金總額含水費；網路費；,RPOOMLQKRHKGFKD76CC,分租套房,無,1140910~1150910,有,冷氣、熱水器、洗衣機、電視機、冰箱、網路,一般代管
永康區,租賃房屋,臺南市永康區中正七街９６號,0.0,,,,1140901,土地0建物0車位0,全,4,透天厝,住商用,鋼筋混凝土造,0940527,23.78,8,0,8,有,無,有,5200,219,,0.0,0,,RPPOMLQKRHKGFKD86CC,分租套房,無,1140901~1150831,無,冷氣、熱水器、洗衣機、電視機、冰箱、有線電視,一般代管
永康區,租賃房屋,臺南市永康區中山東路１１２號六樓之３,0.0,,,,1140901,土地0建物1車位0,六層,8,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0830406,149.42,4,1,2,有,有,有,13285,89,,0.0,0,台南市不動產租賃公會民間住宅包租代管第4期計畫。管理費1715元由出租人負擔未租賃車位，建物登記含有車位面積；,RPQOMLQKRHKGFKD96CC,整棟(戶)出租,有,1140901~1150831,有,冷氣、熱水器、洗衣機、冰箱、瓦斯或天然氣,社會住宅包租轉租
永康區,租賃房屋,臺南市永康區中正七街６２號,0.0,,,,1140829,土地0建物0車位0,全,4,透天厝,住商用,鋼筋混凝土造,0950627,19.99,10,0,10,有,無,有,6150,308,,0.0,0,,RPROMLQKRHKGFKD07CC,分租套房,無,1140901~1150831,無,冷氣、熱水器、洗衣機、電視機、冰箱、有線電視,一般代管
永康區,租賃房屋,臺南市永康區大灣路７６４巷５６號５樓之３,0.0,,,,1140904,土地0建物1車位0,五層,6,華廈(10層含以下有電梯),辦公室,鋼筋混凝土造,0940708,25.4,1,0,1,有,有,有,5500,217,,0.0,0,含增建或未登記建物；,RPSOMLQKRHKGFKD17CC,獨立套房,有,1141001~1150331,有,冷氣、熱水器、電視機、冰箱、網路,一般代管
永康區,租賃房屋,臺南市永康區安康里大橋一街５７之５號十三樓之３１,0.0,,,,1140825,土地0建物1車位0,十三層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0880824,31.0,1,1,1,有,有,有,7000,226,,0.0,0,台南市社會住宅包租代管增辦第4期計畫公會版租金已打9折,RPTOMLQKRHKGFKD27CC,獨立套房,有,1140915~1150914,有,冷氣、熱水器、洗衣機、電視機、冰箱、有線電視、網路,社會住宅代管
永康區,租賃房屋+車位,臺南市永康區龍埔街３６９號三樓之５,0.0,,,,1140823,土地0建物1車位1,三層,15,住宅大樓(11層含以上有電梯),集合住宅,鋼筋混凝土造,1121124,156.76,3,2,2,有,有,有,23000,147,坡道機械,23.14,0,租金不含管理費，管理費4000元/月多人共同承租2；,RPUOMLQKRHKGFKD37CC,整棟(戶)出租,有,1140901~1160831,有,冷氣、熱水器、洗衣機、電視機、冰箱,
永康區,租賃房屋,臺南市永康區永康里文化路３６號五樓之３,0.0,,,,1140915,土地0建物1車位0,五層,13,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0840228,61.34,1,1,1,有,有,有,8500,139,,0.0,0,台南市不動產租賃公會民間住宅包租代管第四期計畫。,RPVOMLQKRHKGFKD47CC,獨立套房,有,1140915~1150914,有,冷氣、熱水器、冰箱、瓦斯或天然氣,社會住宅包租轉租
安平區,租賃房屋,臺南市安平區國平北路１４７號１４樓之１２,0.0,,,,1140910,土地0建物1車位0,十四層,34,住宅大樓(11層含以上有電梯),集合住宅,鋼骨鋼筋混凝土造、鋼筋混凝土造,1140415,78.89,2,2,1,有,有,無,20000,254,,0.0,0,租金總額含管理費；,RPQNMLRKRHKGFAD58CC,整棟(戶)出租,有,1140915~1150914,有,冷氣、洗衣機、冰箱,
