鄉鎮市區,交易標的,土地位置建物門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號,建案名稱,棟及號,解約情形
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,build case,buildings,termination type
小港區,房地(土地+建物)+車位,高雄市小港區漢威街及港後路口,21.95,住,,,1140227,土地1建物1車位1,四層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,149.88,3,2,2,有,無,12150000,86821,坡道平面,27.79,1550000,,RPPNMLOLLHKGFCE87CB,曜．安庭,A棟1號,
小港區,房地(土地+建物)+車位,高雄市小港區漢威街及港後路口,21.95,住,,,1140311,土地1建物1車位1,十一層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,149.88,3,2,2,有,無,13380000,95258,坡道平面,27.79,1750000,,RPQNMLOLLHKGFCE97CB,曜．安庭,A棟1號,
小港區,房地(土地+建物)+車位,高雄市小港區漢威街及港後路口,20.99,住,,,1140311,土地1建物1車位1,十一層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,144.53,3,2,2,有,無,13120000,97396,坡道平面,27.79,1750000,,RPRNMLOLLHKGFCE08CB,曜．安庭,A棟2號,
小港區,房地(土地+建物)+車位,高雄市小港區宏平路439號旁,10.48,商,,,1140321,土地1建物1車位1,十七層,18,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,161.3,3,2,2,有,無,14700000,94907,坡道平面,23.27,1600000,,RPTNMLOLLHKGFCE28CB,和築親親,C棟6號,
三民區,房地(土地+建物)+車位,高雄市三民區大豐二路37號旁,9.11,商,,,1140311,土地1建物1車位1,二十五層,29,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,162.31,3,2,2,有,無,17100000,120153,坡道平面,34.14,1700000,,RPPNMLOLLHKGFDE97CB,豐光,A棟3號,
燕巢區,房地(土地+建物),高雄市燕巢區燕平街,23.0,住,,,1140305,土地1建物1車位0,四層,5,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,67.01,2,2,2,有,無,6660000,99388,,0.0,0,,RPPNMLOLLHKGFFE18CB,藏逸11,A9棟0號,
鳳山區,房地(土地+建物)+車位,高雄市鳳山區福誠五街,0.0,,,,1140318,土地0建物1車位1,十五層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,91.24,2,1,1,有,無,6830000,75987,坡道平面,23.07,1650000,總價含地上權標的價款181萬元地上權房屋；,RPPNMLOLLHKGFGE28CB,城揚大家,A8棟0號,
鳳山區,房地(土地+建物)+車位,高雄市鳳山區福誠五街,0.0,,,,1140322,土地0建物1車位1,十一層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,108.78,3,1,2,有,無,8150000,75837,坡道平面,23.07,1650000,總價含地上權標的價款227萬元地上權房屋；,RPQNMLOLLHKGFGE38CB,城揚大家,D8棟0號,
美濃區,房地(土地+建物),高雄市美濃區自強街三段2巷,28.36,住,,,1140322,土地1建物1車位0,二層,5,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,76.52,2,2,2,有,無,4700000,61422,,0.0,0,,RPPNMLOLLHKGFKE68CB,河美苑2,A棟7號,
楠梓區,房地(土地+建物)+車位,高雄市楠梓區大學三十二街,21.47,住,,,1140307,土地1建物1車位1,四層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,137.18,2,2,2,有,無,15030000,113096,坡道平面,22.41,2050000,,RPPNMLOLLHKGFEE18DB,行見築,B棟3號,
楠梓區,房地(土地+建物)+車位,高雄市楠梓區大學三十二街,16.65,住,,,1140308,土地1建物1車位1,二層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,111.36,2,1,2,有,無,11900000,110736,坡道平面,22.41,2050000,,RPQNMLOLLHKGFEE28DB,行見築,B棟2號,
楠梓區,房地(土地+建物)+車位,高雄市楠梓區大學三十二街,21.47,住,,,1140308,土地1建物1車位1,七層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,137.18,2,2,2,有,無,15190000,114490,坡道平面,22.41,2050000,,RPRNMLOLLHKGFEE38DB,行見築,B棟1號,
楠梓區,房地(土地+建物)+車位,高雄市楠梓區大學三十二街,29.81,住,,,1140309,土地1建物1車位1,五層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,181.72,3,2,2,有,無,19970000,111230,坡道平面,22.41,2250000,,RPSNMLOLLHKGFEE48DB,行見築,A棟2號,
楠梓區,房地(土地+建物)+車位,高雄市楠梓區大學三十二街,29.24,住,,,1140311,土地1建物1車位1,七層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,178.74,3,2,2,有,無,20180000,114693,坡道平面,22.41,2250000,,RPTNMLOLLHKGFEE58DB,行見築,A棟1號,
小港區,房地(土地+建物)+車位,高雄市小港區宏平路439號旁,11.85,商,,,1140321,土地1建物1車位1,十層,18,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,179.15,3,2,2,有,無,15500000,88456,坡道平面,22.01,1600000,,RPPNMLPLLHKGFCE97CB,和築親親,A棟1號,
楠梓區,房地(土地+建物)+車位,高雄市楠梓區後勁北路、後勁東路,15.28,住,,,1140318,土地1建物1車位1,十五層,26,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,154.69,1,2,2,有,無,20400000,131745,坡道平面,19.58,2600000,,RPPNMLPLLHKGFEE18CB,白隅,A棟2號,
鳳山區,房地(土地+建物),高雄市鳳山區林森路,18.54,住,,,1140226,土地1建物1車位0,六層,10,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,72.8,0,0,0,無,無,8200000,112637,,0.0,0,,RPPNMLPLLHKGFGE38CB,尚雍文心2,A2棟06號,
仁武區,房地(土地+建物)+車位,高雄市仁武區新祥街,61.15,住,,,1140314,土地1建物1車位0,全,4,透天厝,住家用,鋼筋混凝土造,,173.42,3,2,4,有,無,19000000,109561,,0.0,0,,RPPNMLPLLHKGFIE58CB,厝里森,A棟2號,
湖內區,房地(土地+建物)+車位,高雄市湖內區正義一路5號前方,32.72,,一般農業區,甲種建築用地,1140321,土地1建物1車位1,二層,8,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,135.14,3,2,2,有,無,9800000,68047,坡道平面,13.9,1550000,,RPPNMLPLLHKGFJE68CB,城安大未來,D7棟0號,
湖內區,房地(土地+建物)+車位,高雄市湖內區正義一路5號前方,32.8,,一般農業區,甲種建築用地,1140321,土地1建物1車位1,四層,8,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,135.24,3,2,2,有,無,9880000,68650,坡道平面,13.9,1550000,,RPQNMLPLLHKGFJE78CB,城安大未來,D7棟0號,
湖內區,房地(土地+建物)+車位,高雄市湖內區正義一路5號前方,22.36,,一般農業區,甲種建築用地,1140323,土地1建物1車位1,八層,10,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,96.63,2,1,1,有,無,7430000,71075,坡道平面,13.9,1550000,,RPRNMLPLLHKGFJE88CB,城安大未來,B10棟0號,
湖內區,房地(土地+建物)+車位,高雄市湖內區正義一路5號前方,32.8,,一般農業區,甲種建築用地,1140322,土地1建物1車位1,十層,10,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,134.14,3,2,2,有,無,9700000,69639,坡道平面,12.8,1250000,,RPSNMLPLLHKGFJE98CB,城安大未來,A8棟0號,
三民區,房地(土地+建物)+車位,高雄市三民區九如三路,17.81,住,,,1140310,土地1建物1車位1,七層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,159.05,3,2,2,有,無,23420000,158718,坡道平面,24.85,2120000,,RPPNMLQLLHKGFDE18CB,遠雄沐蘊,A07棟F07號,
三民區,房地(土地+建物)+車位,高雄市三民區九如三路,11.79,住,,,1140314,土地1建物1車位1,一層,15,店面(店鋪),商業用,鋼筋混凝土造,,115.93,0,0,1,有,無,21550000,210035,坡道平面,24.85,2420000,,RPQNMLQLLHKGFDE28CB,遠雄沐蘊,S09棟F01號,
三民區,房地(土地+建物)+車位,高雄市三民區九如三路,13.05,住,,,1140314,土地1建物1車位1,十三層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,123.23,2,2,1,有,無,18820000,168225,坡道平面,24.85,2270000,,RPRNMLQLLHKGFDE38CB,遠雄沐蘊,A02棟F13號,
三民區,房地(土地+建物)+車位,高雄市三民區九如三路,17.63,住,,,1140314,土地1建物1車位1,一層,15,店面(店鋪),商業用,鋼筋混凝土造,,161.07,0,0,1,有,無,31800000,216194,坡道平面,24.85,2350000,,RPSNMLQLLHKGFDE48CB,遠雄沐蘊,S03棟F01號,
三民區,房地(土地+建物)+車位,高雄市三民區九如三路,17.81,住,,,1140315,土地1建物1車位1,十五層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,159.05,3,2,2,有,無,24800000,166766,坡道平面,24.85,2420000,,RPTNMLQLLHKGFDE58CB,遠雄沐蘊,A07棟F15號,
三民區,房地(土地+建物)+車位,高雄市三民區九如三路,17.75,住,,,1140315,土地1建物1車位1,三層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,158.45,3,2,2,有,無,23410000,158608,坡道平面,24.85,2220000,,RPUNMLQLLHKGFDE68CB,遠雄沐蘊,A06棟F03號,
三民區,房地(土地+建物)+車位,高雄市三民區九如三路,13.65,住,,,1140316,土地1建物1車位1,一層,15,店面(店鋪),商業用,鋼筋混凝土造,,130.37,0,0,1,有,無,23270000,200152,坡道平面,24.85,2150000,,RPVNMLQLLHKGFDE78CB,遠雄沐蘊,S13棟F01號,
三民區,房地(土地+建物)+車位,高雄市三民區九如三路,17.81,住,,,1140316,土地1建物1車位1,六層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,159.05,3,2,2,有,無,23520000,159463,坡道平面,24.85,2120000,,RPWNMLQLLHKGFDE88CB,遠雄沐蘊,A07棟F06號,
